Name,Price,Release Date,Publisher,Developer,Percent Positive Reviews (30 days),Total Number Reviews (30 days),PerPosRevAT,Total Number Reviews (All Time),Genere(s),Storage Capacity,Mac?,Windows?,Steam OS + Linux?
Alba: A Wildlife Adventure, 16.99 ,12/11/2020,"ustwo games, PID Games,","ustwo games,",98,63,97,1707,"Casual, Female Protagonist, Adventure, 3D, Family Friendly, Nature, Funny, Story Rich, Cartoony, Exploration, Singleplayer, Open World, Creature Collector, Cute, Colorful, Relaxing, Cartoon, Stylized, Atmospheric, Indie,",2 GB available space,0,1,0
Supreme Ruler Century Collection, 19.99 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
The Adventure of NAYU, 2.99 ,1/19/2021,"ambai,","ambai,",93,30,96,560,"Casual, Indie, Clicker, Cute, 2D, Fantasy, Singleplayer, Anime, Female Protagonist,",256 MB available space,1,1,0
Brigador: Up-Armored Edition, 12.99 ,6/2/2016,"Stellar Jockeys,","Stellar Jockeys, Gausswerks,",94,39,96,3152,"Cyberpunk, Mechs, Top-Down Shooter, Soundtrack, Action, Singleplayer, Retro, Destruction, 1990's, Indie, Vehicular Combat, Tanks, Difficult, Shooter, Roguelite, Dystopian , Twin Stick Shooter, Sci-fi, Isometric, Top-Down,",1 GB available space,1,1,1
Dorfromantik + Soundtrack, 14.99 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
The House of Da Vinci, 39.99 ,11/24/2017,"Blue Brain Games,","Blue Brain Games,",87,56,89,3436,"Puzzle, Adventure, Indie, Strategy, Point & Click, Hidden Object, Singleplayer, Atmospheric, First-Person, Escape Room,",3 GB available space,1,1,0
Atelier Ayesha: The Alchemist of Dusk DX, 39.99 ,1/14/2020,"KOEI TECMO GAMES CO., LTD.,","KOEI TECMO GAMES CO., LTD.,",80,10,94,208,"RPG, JRPG, Anime, Cute, Female Protagonist, Fantasy, Crafting,",17 GB available space,0,1,0
Hide and Seek, 2.99 ,3/10/2021,"King of Games,","King of Games,",N/A,N/A,75,37,"Indie, Early Access, Adventure, Multiplayer, RPG, Massively Multiplayer, Stealth, Atmospheric, Action, Horror, Singleplayer, Family Friendly, Online Co-Op, Beautiful, Short, Survival Horror, Puzzle, Funny, Puzzle Platformer, Cartoony,",1 GB available space,0,1,0
VR MegaPack, 29.96 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
WW2: Bunker Simulator, 29.99 ,9/1/2021,"Art Games Studio S.A., Gaming Factory S.A.,","BEPLAYER, Art Games Studio S.A.,",75,28,74,103,"Early Access, FPS, Simulation, World War II, Survival, Zombies, Horror, Management, Singleplayer, Resource Management, Indie, First-Person, Military, 3D, Shooter, Historical, War, Combat, Realistic, Action,",5 GB available space,0,1,0
What's Your Gender?, 1.99 ,10/12/2021,"PurpleSloth,","PurpleSloth,",N/A,N/A,N/A,N/A,"Casual, LGBTQ+, Indie, Walking Simulator, Education, Minimalist, Exploration, Experience, Relaxing, 3D, Family Friendly, Surreal, Atmospheric, Abstract, Experimental, Singleplayer, First-Person, Stylized, Controller, Puzzle,",N/A,0,1,1
STAR WARS™ X-Wing Series, 29.99 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Sid Meier's Covert Action (Classic), 6.99 ,1/1/1990,"Retroism, Nightdive Studios,","MicroProse Software, Inc,",N/A,N/A,92,93,"Simulation, Adventure, Classic, Pixel Graphics,",100 MB available space,1,1,1
Shelter 2 Soundtrack, 2.99 ,3/9/2015,N/A,"Might and Delight,",N/A,N/A,10,23,"Adventure, Casual, Indie, Soundtrack,",N/A,0,0,0
Winkeltje: The Little Shop, 14.99 ,2/19/2019,"Sassybot,","Sassybot,",90,10,93,715,"Early Access, Capitalism, Crafting, Economy, Management, Building, Medieval, Base Building, Trading, Sandbox, Farming Sim, Character Customization, Cute, Strategy, Top-Down, Casual, Simulation, Fantasy, Resource Management, City Builder,",512 MB available space,0,1,0
RPG Maker 2003, 19.99 ,4/24/2015,"Degica,","Gotcha Gotcha Games, KADOKAWA, Yoji Ojima,",N/A,N/A,91,420,"Design & Illustration, Game Development, Web Publishing, RPGMaker, RPG, Software, Retro, Anime,",100 MB available space,0,1,0
DATE A LIVE: Rio Reincarnation, 29.99 ,7/23/2019,"Idea Factory International,","Idea Factory, Compile Heart, Sting,",93,15,93,1783,"Simulation, Anime, Dating Sim, Visual Novel, Sexual Content, Romance, Nudity, Singleplayer, Mature, Story Rich, Mystery, Adventure, Cute, Casual,",16 GB available space,0,1,0
RiMS Racing, 49.99 ,8/19/2021,"Nacon,","Raceward Studio,",78,14,77,118,"Racing, Motorbike, Realistic, Automobile Sim, Bikes, Singleplayer, Sports, First-Person, Management, Local Multiplayer, Driving, PvP, Inventory Management, 3D, Physics, Multiplayer, Third Person, Character Customization, PvE, Simulation,",6 GB available space,0,1,0
ClickQuest Treasure Bundle, 4.97 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
EVERSPACE™, 19.99 ,5/25/2017,"ROCKFISH Games,","ROCKFISH Games,",73,34,78,8025,"Space, Action Roguelike, Action, Indie, Sci-fi, Space Sim, Roguelite, Singleplayer, Shooter, Flight, Roguelike, VR, Survival, 6DOF, Exploration, Difficult, Arcade, Great Soundtrack, Simulation, First-Person,",12 GB available space,1,1,1
You Must, 1.99 ,9/3/2021,"Thin_Line,","Thin_Line,",N/A,N/A,89,39,"Simulation, 3D Platformer, Exploration, 3D, First-Person, Atmospheric, Survival, Logic, Dark, Old School, Psychological, Psychological Horror, Retro, Stealth, Mystery, Horror, Survival Horror, Indie, PvE, Singleplayer,",5 GB available space,0,1,0
Founders' Fortune, 29.99 ,12/18/2020,"Dionic Software,","Dionic Software,",81,11,84,1370,"Colony Sim, Base Building, City Builder, Simulation, Strategy, Building, Indie, Survival, Sandbox, Management, Character Customization, Resource Management, Economy, Crafting, Medieval, Cartoony, Procedural Generation, Colorful, Family Friendly, Cute,",500 MB available space,1,1,0
Tales from Candlekeep Complete Edition, 19.99 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
