Name,Price,Release Date,Publisher,Developer,Percent Positive Reviews (30 days),Total Number Reviews (30 days),PerPosRevAT,Total Number Reviews (All Time),Genere(s),Storage Capacity,Mac?,Windows?,Steam OS + Linux?
Back 4 Blood, 29.99 ,10/12/2021,"Warner Bros. Games, Warner Bros. Interactive Entertainment,","Turtle Rock Studios,",N/A,N/A,80,6822,"Zombies, Action, Online Co-Op, Multiplayer, Shooter, FPS, Co-op, First-Person, Gore, Adventure, Blood, Violent, Horror, Singleplayer, PvP, Survival, Survival Horror, PvE, Replay Value, Roguelite,",40 GB available space,0,1,0
New World, 39.99 ,9/28/2021,"Amazon Games,","Amazon Games,",N/A,N/A,74,120254,"Massively Multiplayer, MMORPG, Open World, Adventure, RPG, Action, PvP, PvE, Multiplayer, Fantasy, Character Customization, Third Person, Crafting, Walking Simulator, Open World Survival Craft, Sandbox, Co-op, Violent, Souls-like, Sexual Content,",50 GB available space,0,1,0
Halo: The Master Chief Collection, 39.99 ,12/3/2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Demon Slayer -Kimetsu no Yaiba- The Hinokami Chronicles, 59.99 ,10/15/2021,"SEGA,","CyberConnect2,",N/A,N/A,89,1793,"Action, Anime, Adventure, 3D Fighter, Action-Adventure, 2D Fighter, 3D, Cartoon, Demons, Cinematic, Colorful, Comic Book, Drama, Emotional, PvP, Foreign, Combat, Controller, Multiplayer, Quick-Time Events,",25 GB available space,0,1,0
The Jackbox Party Pack 8, 29.99 ,10/13/2021,"Jackbox Games, Inc.,","Jackbox Games, Inc.,",N/A,N/A,91,124,"Party Game, Family Friendly, Comedy, Trivia, Colorful, Indie, Word Game, Cartoon, Funny, 2D, Local Co-Op, Local Multiplayer, Team-Based, Casual,",3 GB available space,1,1,1
The Riftbreaker, 29.99 ,10/14/2021,"EXOR Studios, Surefire.Games,","EXOR Studios,",N/A,N/A,91,2192,"Base Building, Strategy, Survival, Tower Defense, Hack and Slash, Action RPG, Crafting, Adventure, Simulation, Sci-fi, RPG, Exploration, Resource Management, Loot, Isometric, Building, Sandbox, Atmospheric, Action, Aliens,",8 GB available space,0,1,0
Ori and the Will of the Wisps, 29.99 ,3/11/2020,"Xbox Game Studios,","Moon Studios GmbH,",96,717,96,67034,"Beautiful, Great Soundtrack, Metroidvania, Platformer, Action, Singleplayer, Adventure, Atmospheric, Story Rich, Cute, Exploration, Action-Adventure, Puzzle, Emotional, Difficult, Indie, Fantasy, Open World, 2D, Souls-like,",20 GB available space,0,1,0
Disco Elysium - The Final Cut, 39.99 ,10/15/2019,"ZA/UM,","ZA/UM,",92,1278,94,38898,"RPG, Story Rich, Choices Matter, Detective, Isometric, Atmospheric, Singleplayer, CRPG, Noir, Open World, Surreal, Visual Novel, Adventure, Indie, Exploration, Character Customization, Funny, Point & Click, Fantasy, Action RPG,",20 GB available space,1,1,0
Phasmophobia, 29.99 ,9/18/2020,"Kinetic Games,","Kinetic Games,",97,10969,97,274508,"Horror, Online Co-Op, Multiplayer, Psychological Horror, Co-op, Supernatural, VR, First-Person, Investigation, Dark, Mystery, Detective, Demons, Early Access, Thriller, 3D, Indie, Action, Tactical, Lovecraftian,",16 GB available space,0,1,0
Ori: The Collection, 34.98 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Madden NFL 22, 59.99 ,8/20/2021,"Electronic Arts,","Tiburon,",56,502,44,1154,"Sports, Football, Controller, PvP, Immersive Sim, Realistic, Casual, eSports, Physics, Third Person, Team-Based, Strategy, Simulation, Cinematic, America, Local Co-Op, Local Multiplayer, Multiplayer, Online Co-Op, Singleplayer,",50 GB available space,0,1,0
Baldur's Gate 3, 59.99 ,10/6/2020,"Larian Studios,","Larian Studios,",86,1016,88,40436,"Early Access, RPG, Dungeons & Dragons, Choices Matter, Turn-Based, Story Rich, Character Customization, Party-Based RPG, CRPG, Co-op Campaign, Fantasy, Romance, Class-Based, Dark Fantasy, PvE, Narration, Stealth, Combat, Crafting, Dragons,",150 GB available space,1,1,0
Battlefield Bundle, 129.97 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Sid Meier’s Civilization® VI Anthology, 209.85 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Fallout 4: Game of the Year Edition, 39.99 ,11/10/2015,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Grand Theft Auto V: Premium Edition, 39.99 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Rust, 29.99 ,2/8/2018,"Facepunch Studios,","Facepunch Studios,",89,9816,87,547480,"Survival, Crafting, Multiplayer, Open World, Open World Survival Craft, Building, Sandbox, PvP, Adventure, First-Person, Action, FPS, Nudity, Co-op, Shooter, Online Co-Op, Indie, Early Access, Post-apocalyptic, Simulation,",20 GB available space,1,1,0
It Takes Two, 39.99 ,3/26/2021,"Electronic Arts,","Hazelight,",96,1766,95,40528,"Co-op, Adventure, Split Screen, Puzzle, Multiplayer, Local Co-Op, Puzzle Platformer, Story Rich, 3D Platformer, Local Multiplayer, Platformer, Action-Adventure, Online Co-Op, Co-op Campaign, Action, Female Protagonist, Emotional, Atmospheric, Exploration, Minigames,",50 GB available space,0,1,0
Noita, 19.99 ,10/15/2020,"Nolla Games,","Nolla Games,",94,711,95,33534,"Difficult, Physics, Roguelike, Dungeon Crawler, Indie, Action, Open World, Action Roguelike, Perma Death, Roguelite, Sandbox, RPG, 2D, Pixel Graphics, 2D Platformer, Gun Customization, Action-Adventure, Dark Humor, Mythology, Crafting,",1600 MB available space,0,1,0
Borderlands 3: Super Deluxe Edition, 79.99 ,3/13/2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Borderlands 3 Ultimate Edition, 114.97 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Forza Horizon 5, 59.99 ,11/9/2021,"Xbox Game Studios,","Playground Games,",N/A,N/A,N/A,N/A,"Racing, Adventure, Open World, Automobile Sim, Simulation, Exploration, Arcade, Realistic, Driving, First-Person, Atmospheric, Multiplayer, Sports, PvP, Co-op, Online Co-Op, Singleplayer, Action, Third Person,",110 GB available space,0,1,0
Sid Meier’s Civilization® VI, 59.99 ,10/21/2016,"2K, Aspyr (Mac), Aspyr (Linux),","Firaxis Games, Aspyr (Mac), Aspyr (Linux),",87,3361,82,129817,"Strategy, Turn-Based Strategy, Historical, Multiplayer, Singleplayer, Turn-Based, Grand Strategy, 4X, War, Simulation, City Builder, Tactical, Great Soundtrack, Moddable, Building, Management, Online Co-Op, Co-op, Hex Grid, Atmospheric,",12 GB available space,1,1,1
Battlefield V, 49.99 ,11/9/2018,"Electronic Arts,","DICE,",73,11421,69,61817,"FPS, World War II, Shooter, Multiplayer, War, Singleplayer, First-Person, Military, PvP, Open World, Combat, Massively Multiplayer, Action, Historical, Destruction, Atmospheric, Battle Royale, Violent, Sexual Content, Female Protagonist,",50 GB available space,0,1,0
FIFA 22, 59.99 ,10/1/2021,"Electronic Arts,","EA Canada,",N/A,N/A,81,5550,"Soccer, Sports, Football, Simulation, Competitive, Multiplayer, Realistic, Singleplayer, Online Co-Op, Local Co-Op, Local Multiplayer, PvP, Family Friendly, Controller, eSports, Immersive Sim, Physics, Team-Based, Co-op, Cinematic,",50 GB available space,0,1,0
Red Dead Redemption 2, 19.99 ,12/5/2019,"Rockstar Games,","Rockstar Games,",93,5332,86,187502,"Open World, Adventure, Story Rich, Western, Action, Multiplayer, Shooter, Realistic, Singleplayer, Third-Person Shooter, Atmospheric, Horses, Beautiful, Great Soundtrack, Third Person, Mature, Sandbox, First-Person, Gore, FPS,",150 GB available space,0,1,0
Stardew Valley, 14.99 ,2/26/2016,"ConcernedApe,","ConcernedApe,",98,5894,97,334338,"Farming Sim, Life Sim, RPG, Pixel Graphics, Multiplayer, Agriculture, Simulation, Relaxing, Crafting, Sandbox, Indie, Building, Singleplayer, Casual, Open World, 2D, Great Soundtrack, Cute, Dating Sim, Fishing,",500 MB available space,1,1,1
Slay the Spire, 24.99 ,1/23/2019,"Mega Crit Games,","Mega Crit Games,",97,1014,97,83885,"Roguelike Deckbuilder, Card Battler, Card Game, Roguelike, Deckbuilding, Turn-Based, Strategy, Singleplayer, Roguelite, Replay Value, Indie, Difficult, Dungeon Crawler, RPG, Mouse only, Great Soundtrack, Fantasy, 2D, Procedural Generation, Casual,",1 GB available space,1,1,1
Battlefield 4™, 39.99 ,10/29/2013,"Electronic Arts,","DICE,",85,3167,86,25966,"Multiplayer, FPS, Shooter, Singleplayer, Military, Action, War, First-Person, PvP, Violent, Co-op, Massively Multiplayer, Destruction, Controller, Open World, Tactical, Online Co-Op, Great Soundtrack, Strategy, Story Rich,",30 GB available space,0,1,0
The Outer Worlds, 59.99 ,10/23/2020,"Private Division,","Obsidian Entertainment,",85,405,85,13206,"Action RPG, Open World, RPG, Exploration, FPS, Adventure, Singleplayer, Story Rich, Shooter, First-Person, Choices Matter, Sci-fi, Action, PvE, Space, Character Customization, Comedy, Action-Adventure, Colorful, Funny,",40 GB available space,0,1,0
Valheim, 29.99 ,2/2/2021,"Coffee Stain Publishing,","Iron Gate AB,",91,8294,95,239623,"Open World Survival Craft, Survival, Online Co-Op, Open World, Crafting, Building, Multiplayer, Exploration, Co-op, Base Building, Sandbox, Adventure, Mythology, Sailing, RPG, Early Access, Action, Indie, PvP, Fishing,",1 GB available space,0,1,1
Poppy Playtime, 29.99 ,10/12/2021,"MOB Games,","MOB Games,",N/A,N/A,94,443,"Horror, Puzzle, First-Person, Singleplayer, Lore-Rich, Indie, Cute, Survival Horror, Cartoony, Survival, Dark, Atmospheric, Psychological Horror, 1980s, Physics, Adventure, Mystery, Action-Adventure, Thriller, Action,",10 GB available space,0,1,0
Bloons TD 6, 9.99 ,12/17/2018,"Ninja Kiwi,","Ninja Kiwi,",97,7277,97,113119,"Strategy, Tower Defense, Multiplayer, Singleplayer, Co-op, Online Co-Op, Family Friendly, Casual, 3D, Cartoony, Sandbox, Difficult, Funny, Great Soundtrack, Survival, Action, Cute, Indie, 2D, Adventure,",2048 MB available space,1,1,0
Battlefield 1 ™, 39.99 ,10/20/2016,"Electronic Arts,","DICE,",84,4708,84,45244,"FPS, Multiplayer, World War I, Shooter, War, Action, Singleplayer, First-Person, Atmospheric, PvP, Historical, Open World, Massively Multiplayer, Gore, Destruction, Tanks, Physics, Violent, Great Soundtrack, Mature,",50 GB available space,0,1,0
Dead by Daylight, 29.99 ,6/14/2016,"Behaviour Interactive Inc.,","Behaviour Interactive Inc.,",80,8732,82,381406,"Horror, Survival Horror, Multiplayer, Online Co-Op, Survival, Co-op, Gore, Stealth, Blood, Team-Based, Third Person, Violent, First-Person, Action, Psychological Horror, Atmospheric, Strategy, Comedy, Mature, Difficult,",50 GB available space,0,1,0
For The King, 19.99 ,4/19/2018,"Curve Digital,","IronOak Games,",88,336,88,16049,"Open World, Strategy, RPG, Online Co-Op, Adventure, Roguelike, Multiplayer, Turn-Based, Co-op, Tabletop, Roguelite, Turn-Based Combat, Turn-Based Strategy, Party-Based RPG, Indie, Board Game, Fantasy, Strategy RPG, Hex Grid, Local Co-Op,",3 GB available space,1,1,1
NBA 2K22, 54.99 ,9/10/2021,"2K,","Visual Concepts,",N/A,N/A,46,4968,"Sports, Basketball, Simulation, Realistic, eSports, Multiplayer, 3D, Singleplayer, Team-Based, Management, Character Customization, Controller, Deckbuilding, Trading, 4 Player Local, Co-op, Local Co-Op, Gambling, Local Multiplayer, Online Co-Op,",110 GB available space,0,1,0
Destiny 2: Legendary Edition, 79.99 ,11/10/2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
BeamNG.drive, 24.99 ,5/29/2015,"BeamNG,","BeamNG,",97,3223,96,83667,"Simulation, Driving, Physics, Destruction, Automobile Sim, Realistic, Open World, Racing, Sandbox, Moddable, Singleplayer, Early Access, Multiplayer, Exploration, Funny, First-Person, Third Person, Action, Adventure, Flight,",25 GB available space,0,1,0
Timberborn, 14.99 ,9/15/2021,"Mechanistry,","Mechanistry,",N/A,N/A,95,4436,"Early Access, City Builder, Colony Sim, Base Building, Survival, Management, Building, Resource Management, Automation, Economy, Post-apocalyptic, Singleplayer, Sandbox, Agriculture, Level Editor, Strategy, Science, 3D, Top-Down, Voxel,",3 GB available space,1,1,0
Terraria, 29.99 ,5/16/2011,"Re-Logic,","Re-Logic,",97,12085,98,647786,"Open World Survival Craft, Sandbox, Survival, 2D, Multiplayer, Adventure, Crafting, Pixel Graphics, Building, Exploration, Co-op, Open World, Indie, Online Co-Op, Action, RPG, Singleplayer, Replay Value, Platformer, Atmospheric,",N/A,1,1,1
The Elder Scrolls V: Skyrim Special Edition, 79.98 ,10/27/2016,"Bethesda Softworks,","Bethesda Game Studios,",96,1906,94,81061,"Open World, RPG, Adventure, Singleplayer, Fantasy, Character Customization, Dragons, Moddable, Story Rich, Magic, First-Person, Action, Atmospheric, Great Soundtrack, Third Person, Stealth, Classic, Remake, Female Protagonist, Walking Simulator,",12 GB available space,0,1,0
Hell Let Loose, 19.99 ,7/27/2021,"Team17,","Black Matter Pty Ltd,",85,1735,85,33841,"Action, Shooter, World War II, FPS, Multiplayer, Realistic, War, Simulation, Tactical, PvP, First-Person, Military, Strategy, Massively Multiplayer, Violent, Historical, Gore, Indie, Mature, Tanks,",30 GB available space,0,1,0
Insurgency: Sandstorm, 49.99 ,12/12/2018,"Focus Home Interactive,","New World Interactive,",89,1400,86,62570,"FPS, Realistic, Shooter, Military, Multiplayer, Action, Tactical, First-Person, Online Co-Op, War, Co-op, Violent, Gore, Atmospheric, Difficult, Simulation, Open World, Massively Multiplayer, Indie, Choices Matter,",40 GB available space,0,1,0
Sea of Thieves, 59.99 ,6/3/2020,"Xbox Game Studios,","Rare Ltd,",90,5445,90,143497,"Adventure, Multiplayer, Open World, Pirates, Action, Co-op, Online Co-Op, PvP, Sailing, First-Person, Exploration, Naval, Funny, PvE, Atmospheric, Massively Multiplayer, FPS, Great Soundtrack, Swordplay, Singleplayer,",50 GB available space,0,1,0
Ori and the Blind Forest: Definitive Edition, 34.98 ,4/27/2016,"Xbox Game Studios,","Moon Studios GmbH,",92,411,95,42401,"Atmospheric, Great Soundtrack, Metroidvania, Platformer, Adventure, Story Rich, Singleplayer, Cute, Action, Difficult, Fantasy, 2D, Indie, Puzzle, Side Scroller, Open World, Controller, Family Friendly, 2.5D, RPG,",11 GB available space,0,1,0
Age of Darkness: Final Stand, 29.99 ,10/7/2021,"Team17 ,","PlaySide,",N/A,N/A,89,1113,"RTS, Survival, Base Building, Dark Fantasy, Resource Management, Fantasy, Strategy, Building, Singleplayer, Stylized, Atmospheric, 3D, Combat, Dark, Medieval, Tactical, Early Access, PvE, Action RTS, Colony Sim,",5 GB available space,0,1,0
Batman: Arkham Collection, 59.99 ,11/28/2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
MONSTER HUNTER RISE, 39.99 ,1/12/2022,"CAPCOM Co., Ltd.,","CAPCOM Co., Ltd.,",N/A,N/A,N/A,N/A,"Action, Hunting, Co-op, Multiplayer, Third Person, Dragons, 3D, Ninja, Nature, PvE, Character Customization, Singleplayer, Investigation, Atmospheric, Conversation, Story Rich, Anime, RPG, Fantasy, Souls-like,",23 GB available space,0,1,0
Age of Empires IV, 39.99 ,10/28/2021,"Xbox Game Studios,","Relic Entertainment, World's Edge,",N/A,N/A,N/A,N/A,"Strategy, RTS, Multiplayer, Medieval, Singleplayer, Action RTS, Historical, War, PvP, Resource Management, PvE, 3D, Isometric, Base Building, Co-op,",50 GB available space,0,1,0
Inscryption, 19.99 ,10/19/2021,"Devolver Digital,","Daniel Mullins Games,",N/A,N/A,N/A,N/A,"Card Battler, Horror, Roguelite, Card Game, Deckbuilding, Surreal, Dark, Psychological, Story Rich, Puzzle, Strategy, Experimental, Roguelike, Point & Click, FMV, First-Person, 3D, 2D, Pixel Graphics, Adventure,",2 GB available space,0,1,0
Satisfactory, 29.99 ,6/8/2020,"Coffee Stain Publishing,","Coffee Stain Studios,",97,2362,97,61421,"Base Building, Open World, Automation, Multiplayer, Crafting, Co-op, Resource Management, Building, Sandbox, Exploration, Adventure, Simulation, Strategy, Early Access, Open World Survival Craft, Survival, Indie, First-Person, Singleplayer, Sci-fi,",15 GB available space,0,1,0
Borderlands 3, 59.99 ,3/13/2020,"2K,","Gearbox Software,",86,816,83,67201,"RPG, Action, Looter Shooter, Online Co-Op, FPS, Open World, Multiplayer, Loot, Co-op, Shooter, Co-op Campaign, Singleplayer, Gore, First-Person, Violent, Adventure, Great Soundtrack, Epic, Nudity, Comedy,",75 GB available space,0,1,0
Nickelodeon All-Star Brawl, 49.99 ,10/5/2021,"GameMill Entertainment,","Ludosity, Fair Play Labs,",N/A,N/A,84,2959,"Multiplayer, 2D Fighter, Cartoon, Action, 1990's, Beat 'em up, eSports, Arcade, 2D Platformer, 2D, Cartoony, Cats, Comedy, Family Friendly, Dog, Funny, PvP, Combat, PvE, Singleplayer,",15 GB available space,0,1,0
The Forest, 29.99 ,4/30/2018,"Endnight Games Ltd,","Endnight Games Ltd,",96,3619,94,259722,"Open World Survival Craft, Survival, Open World, Horror, Crafting, Adventure, Building, Survival Horror, First-Person, Action, Exploration, Sandbox, Atmospheric, Simulation, Singleplayer, Indie, Realistic, Gore, Early Access, Zombies,",5 GB available space,0,1,0
Raft, 29.99 ,5/23/2018,"Axolot Games,","Redbeet Interactive,",94,2640,92,118074,"Survival, Open World Survival Craft, Multiplayer, Co-op, Crafting, Open World, Building, Base Building, Online Co-Op, Adventure, Sandbox, Early Access, First-Person, Singleplayer, Underwater, Simulation, Action, Indie, Strategy, Massively Multiplayer,",6 GB available space,0,1,0
Call of Duty®: Black Ops III, 960.47 ,11/6/2015,"Activision, Aspyr (Mac),","Treyarch, Aspyr (Mac),",91,1569,81,52533,"Multiplayer, FPS, Zombies, Shooter, Action, First-Person, Co-op, Singleplayer, Futuristic, Illuminati, Hero Shooter, Robots, Sci-fi, Gore, Great Soundtrack, Story Rich, Atmospheric, Quick-Time Events, Parkour, Simulation,",100 GB available space,1,1,0
RAILROADS Online!, 34.99 ,10/1/2021,"Stefan Kelnberger,","Stefan Kelnberger,",N/A,N/A,76,276,"Early Access, Trains, Multiplayer, Automobile Sim, Online Co-Op, Physics, Open World, Immersive Sim, Building, Team-Based, Driving, Sandbox, Singleplayer, Exploration, Management, Economy, First-Person, Family Friendly, Nature, Colony Sim,",6000 MB available space,0,1,0
Legion TD 2 - Multiplayer Tower Defense, 19.99 ,10/1/2021,"AutoAttack Games,","AutoAttack Games,",87,1136,81,4265,"Tower Defense, Auto Battler, Multiplayer, Strategy, Replay Value, Competitive, PvP, PvE, Online Co-Op, Co-op, Base Building, Fantasy, Resource Management, Sci-fi, Magic, Mechs, 3D, 2D, Survival, Medieval,",2 GB available space,0,1,0
Tales of Arise, 59.99 ,9/9/2021,"BANDAI NAMCO Entertainment,","BANDAI NAMCO Studios Inc.,",N/A,N/A,91,10697,"Anime, JRPG, RPG, Action, Action RPG, Fantasy, Singleplayer, Third Person, Story Rich, Magic, Open World, Combat, Controller, Adventure, Female Protagonist, Sexual Content, Character Customization, Romance, Hack and Slash, Multiplayer,",45 GB available space,0,1,0
Cyberpunk 2077, 19.99 ,12/9/2020,"CD PROJEKT RED,","CD PROJEKT RED,",73,3241,76,385217,"Cyberpunk, Open World, RPG, Sci-fi, Futuristic, Singleplayer, FPS, Nudity, First-Person, Atmospheric, Exploration, Story Rich, Mature, Action, Violent, Great Soundtrack, Action RPG, Adventure, Character Customization, Immersive Sim,",70 GB available space,0,1,0
Fallout 76, 39.99 ,4/14/2020,"Bethesda Softworks,","Bethesda Game Studios,",68,845,76,28378,"Dark Comedy, RPG, Open World, Post-apocalyptic, Multiplayer, Capitalism, Survival, Base Building, Co-op, Horror, Shooter, MMORPG, Gore, Exploration, Violent, Early Access, FPS, Atmospheric, Great Soundtrack, Singleplayer,",80 GB available space,0,1,0
Operation: Tango, 19.99 ,6/1/2021,"Clever Plays,","Clever Plays,",92,155,89,2070,"Online Co-Op, Co-op Campaign, Puzzle, Hacking, Casual, Adventure, Female Protagonist, Cyberpunk, Family Friendly, Detective, Futuristic, 3D, First-Person, Stylized, Colorful, Heist, Action-Adventure, Co-op, Investigation, Multiplayer,",3 GB available space,0,1,0
Pathfinder: Wrath of the Righteous, 39.99 ,9/2/2021,"META Publishing, Owlcat Games,","Owlcat Games,",80,3058,80,8634,"CRPG, Gore, RPG, Fantasy, Exploration, Party-Based RPG, Character Customization, Isometric, Female Protagonist, Adventure, Choices Matter, Story Rich, Turn-Based Combat, Medieval, Singleplayer, Psychedelic, Conversation, Open World, Tactical RPG, Dark Fantasy,",50 GB available space,1,1,0
Teardown, 19.99 ,10/29/2020,"Tuxedo Labs,","Tuxedo Labs,",95,1375,95,23684,"Destruction, Physics, Sandbox, Voxel, First-Person, Singleplayer, Heist, Realistic, Simulation, Strategy, Open World, Action, Puzzle, Tactical, Indie, Driving, Early Access, Epic, Replay Value, Multiplayer,",2 GB available space,0,1,0
Gas Station Simulator, 36.98 ,9/15/2021,"Movie Games S.A., HeartBeat Games,","DRAGO entertainment,",N/A,N/A,84,5860,"Simulation, Indie, Building, Economy, Base Building, Realistic, Singleplayer, Open World, Crafting, First-Person, Relaxing, Casual, Multiplayer, Design & Illustration, Funny, Destruction, Family Friendly, Choices Matter, Memes, Education,",10 GB available space,0,1,0
RimWorld, 29.99 ,10/17/2018,"Ludeon Studios,","Ludeon Studios,",97,1761,98,96110,"Colony Sim, Base Building, Survival, Strategy, Management, Sandbox, Building, Simulation, City Builder, Singleplayer, Procedural Generation, Moddable, Open World, 2D, Sci-fi, Indie, Tactical RPG, Western, Space, Cartoony,",1 GB available space,1,1,1
ARK: Ultimate Survivor Edition, 29.99 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
DEATHLOOP, 39.99 ,9/14/2021,"Bethesda Softworks,","Arkane Studios,",N/A,N/A,76,8423,"FPS, Action, First-Person, Stealth, Shooter, Immersive Sim, Assassin, Roguelite, Multiplayer, Adventure, Singleplayer, Time Manipulation, Story Rich, Tactical, PvP, Violent, Sexual Content, Gore, Parkour, Action-Adventure,",30 GB available space,0,1,0
Subnautica, 29.99 ,1/23/2018,"Unknown Worlds Entertainment,","Unknown Worlds Entertainment,",96,2148,96,161506,"Open World Survival Craft, Survival, Open World, Exploration, Underwater, Crafting, Base Building, Horror, Singleplayer, Adventure, First-Person, Sci-fi, Sandbox, Aliens, Atmospheric, Survival Horror, Action, Early Access, Multiplayer, Indie,",20 GB available space,1,1,0
Despot's Game: Dystopian Army Builder, 14.99 ,10/14/2021,"tinyBuild,","Konfa Games,",N/A,N/A,95,222,"Early Access, Tactical, Indie, Pixel Graphics, Roguelike, Turn-Based Tactics, RPG, 2D, Roguelite, Dark Humor, Adventure, Strategy, Singleplayer, Survival, Asynchronous Multiplayer, Atmospheric, Dungeon Crawler, Auto Battler, Replay Value, Procedural Generation,",1 GB available space,1,1,1
Fallout New Vegas Ultimate, 19.99 ,2/7/2012,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Borderlands: The Handsome Collection, 229.48 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Tom Clancy's Rainbow Six® Siege, 19.99 ,12/1/2015,"Ubisoft,","Ubisoft Montreal,",84,10771,88,826248,"FPS, Hero Shooter, Multiplayer, Tactical, Shooter, Team-Based, Action, First-Person, Competitive, Co-op, Strategy, Realistic, Online Co-Op, Destruction, Physics, Atmospheric, Singleplayer, Massively Multiplayer, Casual, Simulation,",61 GB available space,0,1,0
DayZ, 39.99 ,12/13/2018,"Bohemia Interactive,","Bohemia Interactive,",87,2325,69,231649,"Survival, Zombies, Multiplayer, Open World, Action, PvP, Shooter, Massively Multiplayer, Horror, Simulation, Post-apocalyptic, Early Access, FPS, First-Person, Survival Horror, Sandbox, Adventure, Co-op, Indie, Atmospheric,",16 GB available space,0,1,0
Deep Rock Galactic, 59.99 ,5/13/2020,"Coffee Stain Publishing,","Ghost Ship Games,",96,1516,97,79025,"Looter Shooter, Loot, Horror, PvE, Exploration, FPS, Co-op, Shooter, Action Roguelike, First-Person, Procedural Generation, Combat, Sci-fi, Action, Class-Based, Space, Atmospheric, Dark, Open World, Survival,",3 GB available space,0,1,0
Torchlight III, 39.99 ,10/13/2020,"Perfect World Entertainment,","Echtra Inc.,",50,151,48,8374,"RPG, Adventure, Action, Hack and Slash, Action RPG, Loot, Dungeon Crawler, Online Co-Op, Co-op, Isometric, Fantasy, Multiplayer, Singleplayer, Controller, Early Access, Steampunk,",10 GB available space,0,1,0
RAILROADS Online! - Complete the Set Bundle, 29.99 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Garry's Mod, 19.99 ,11/29/2006,"Valve,","Facepunch Studios,",97,8991,96,634280,"Sandbox, Multiplayer, Funny, Moddable, Building, Comedy, Co-op, Mod, First-Person, Physics, Simulation, Online Co-Op, FPS, Singleplayer, Action, Shooter, Animation & Modeling, Indie, Massively Multiplayer, Adventure,",5 GB available space,1,1,1
People Playground, 9.99 ,7/23/2019,"Studio Minus,","mestiez,",98,3952,98,62920,"Sandbox, Physics, Gore, Violent, Moddable, Singleplayer, Blood, 2D, Simulation, Funny, Destruction, Building, Casual, Indie, Pixel Graphics, Action, Psychological Horror, Horror, Comedy, Choose Your Own Adventure,",350 MB available space,0,1,0
Factorio, 29.99 ,8/14/2020,"Wube Software LTD.,","Wube Software LTD.,",98,2111,98,101727,"Automation, Base Building, Resource Management, Sandbox, Crafting, Strategy, Multiplayer, Survival, Management, Open World, Co-op, Building, 2D, Casual, Moddable, Singleplayer, Simulation, Trains, City Builder, Pixel Graphics,",3 GB available space,1,1,1
Risk of Rain 2, 19.99 ,8/11/2020,"Gearbox Publishing,","Hopoo Games,",97,1415,96,111047,"Third-Person Shooter, Action Roguelike, Multiplayer, Action, Roguelite, Co-op, Looter Shooter, Roguelike, Loot, Shooter, Online Co-Op, Difficult, Survival, Third Person, Indie, Singleplayer, Soundtrack, Early Access, Great Soundtrack, Bullet Hell,",4 GB available space,0,1,0
ARK: Survival Evolved, 29.99 ,8/27/2017,"Studio Wildcard,","Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC,",90,4506,81,373668,"Open World Survival Craft, Survival, Open World, Multiplayer, Dinosaurs, Crafting, Building, Adventure, Base Building, Co-op, Action, First-Person, Sandbox, Massively Multiplayer, Singleplayer, Early Access, RPG, Dragons, Sci-fi, Indie,",60 GB available space,1,1,1
Wallpaper Engine, 34.99 ,11/1/2018,"Wallpaper Engine Team,","Wallpaper Engine Team,",97,12999,97,383828,"Mature, Utilities, Software, Anime, Design & Illustration, Animation & Modeling, Casual, Memes, Indie, Cute, Early Access, Funny, Action, Singleplayer, Music, NSFW, Sandbox, Photo Editing, Game Development, Horror,",512 MB available space,0,1,0
Gloomhaven, 19.99 ,7/17/2019,"Asmodee Digital,","Flaming Fowl Studios,",93,193,88,4566,"Tabletop, Co-op, RPG, Strategy, Board Game, Turn-Based, Dungeon Crawler, Adventure, Turn-Based Strategy, Turn-Based Tactics, Early Access, Singleplayer, Hex Grid, Multiplayer, Tactical RPG, Replay Value, Roguelike, Online Co-Op, Difficult, 3D,",7 GB available space,0,1,0
