Name,Price,Release Date,Publisher,Developer,% Positive Reviews (30 days),Total Number Reviews (30 days),%PosAT,TotalReviewsAT,Genre(s),Storage Capacity,Mac?,Windows?,Steam OS + Linux?
Call of Duty®: Black Ops III,"$1,069.60","Nov 6, 2015","Activision, Aspyr (Mac), ","Treyarch, Aspyr (Mac), ",91,"1,563 Recent
",81,"52,499 ","Multiplayer, FPS, Zombies, Shooter, Action, First-Person, Co-op, Singleplayer, Futuristic, Illuminati, Hero Shooter, Robots, Sci-fi, Gore, Great Soundtrack, Story Rich, Atmospheric, Quick-Time Events, Parkour, Simulation, ", 100 GB available space,1,1,0
Dead by Daylight,$29.99,"Jun 14, 2016","Behaviour Interactive Inc., ","Behaviour Interactive Inc., ",80,"8,934 Recent
",82,"381,241 ","Horror, Survival Horror, Multiplayer, Online Co-Op, Survival, Co-op, Gore, Stealth, Blood, Team-Based, Third Person, Violent, First-Person, Action, Psychological Horror, Atmospheric, Strategy, Comedy, Mature, Difficult, ", 50 GB available space,0,1,0
Raft,$29.99,"May 23, 2018","Axolot Games, ","Redbeet Interactive, ",94,"2,630 Recent
",92,"117,975 ","Survival, Open World Survival Craft, Multiplayer, Co-op, Crafting, Open World, Building, Base Building, Online Co-Op, Adventure, Sandbox, Early Access, First-Person, Singleplayer, Underwater, Simulation, Action, Indie, Strategy, Massively Multiplayer, ", 6 GB available space,0,1,0
Insurgency: Sandstorm,$39.99,"Dec 12, 2018","Focus Home Interactive, ","New World Interactive, ",89,"1,428 Recent
",86,"62,539 ","FPS, Realistic, Shooter, Military, Multiplayer, Action, Tactical, First-Person, Online Co-Op, War, Co-op, Violent, Gore, Atmospheric, Difficult, Simulation, Open World, Massively Multiplayer, Indie, Choices Matter, ", 40 GB available space,0,1,0
Pathfinder: Wrath of the Righteous,$39.99,"Sep 2, 2021","META Publishing, Owlcat Games, ","Owlcat Games, ",N/A,N/A,80,"8,567 ","CRPG, Gore, RPG, Fantasy, Exploration, Party-Based RPG, Character Customization, Isometric, Female Protagonist, Adventure, Choices Matter, Story Rich, Turn-Based Combat, Medieval, Singleplayer, Psychedelic, Conversation, Open World, Tactical RPG, Dark Fantasy, ", 50 GB available space,1,1,0
Age of Empires IV,$59.99,"Oct 28, 2021","Xbox Game Studios, ","Relic Entertainment, World's Edge, ",N/A,N/A,N/A,N/,"Strategy, RTS, Multiplayer, Medieval, Singleplayer, Action RTS, Historical, War, PvP, Resource Management, PvE, 3D, Isometric, Base Building, Co-op, ", 50 GB available space,0,1,0
Destiny 2: Legendary Edition,$79.99," Nov 10, 2020",,,N/A,N/A,N/A,N/,N/A,N/A,0,0,0
For The King,$19.99,"Apr 19, 2018","Curve Digital, ","IronOak Games, ",89,"293 Recent
",88,"15,998 ","Open World, Strategy, RPG, Online Co-Op, Adventure, Roguelike, Multiplayer, Turn-Based, Co-op, Tabletop, Roguelite, Turn-Based Combat, Turn-Based Strategy, Party-Based RPG, Indie, Board Game, Fantasy, Strategy RPG, Hex Grid, Local Co-Op, ", 3 GB available space,1,1,1
Factorio,$29.99,"Aug 14, 2020","Wube Software LTD., ","Wube Software LTD., ",98,"2,096 Recent
",98,"101,671 ","Automation, Base Building, Resource Management, Sandbox, Crafting, Strategy, Multiplayer, Survival, Management, Open World, Co-op, Building, 2D, Casual, Moddable, Singleplayer, Simulation, Trains, City Builder, Pixel Graphics, ", 3 GB available space,1,1,1
NBA 2K22,$54.99,"Sep 10, 2021","2K, ","Visual Concepts, ",N/A,N/A,46,"4,941 ","Sports, Basketball, Simulation, Realistic, eSports, Multiplayer, 3D, Singleplayer, Team-Based, Management, Character Customization, Controller, Deckbuilding, Trading, 4 Player Local, Co-op, Local Co-Op, Gambling, Local Multiplayer, Online Co-Op, ", 110 GB available space,0,1,0
The Forest,$29.99,"Apr 30, 2018","Endnight Games Ltd, ","Endnight Games Ltd, ",96,"3,608 Recent
",94,"259,590 ","Open World Survival Craft, Survival, Open World, Horror, Crafting, Adventure, Building, Survival Horror, First-Person, Action, Exploration, Sandbox, Atmospheric, Simulation, Singleplayer, Indie, Realistic, Gore, Early Access, Zombies, ", 5 GB available space,0,1,0
Nickelodeon All-Star Brawl,$49.99,"Oct 5, 2021","GameMill Entertainment, ","Ludosity, Fair Play Labs, ",N/A,N/A,84,"2,929 ","Multiplayer, 2D Fighter, Cartoon, Action, 1990's, Beat 'em up, eSports, Arcade, 2D Platformer, 2D, Cartoony, Cats, Comedy, Family Friendly, Dog, Funny, PvP, Combat, PvE, Singleplayer, ", 15 GB available space,0,1,0
Into the Breach,$14.99,"Feb 27, 2018","Subset Games, ","Subset Games, ",96,"107 Recent
",94,"10,789 ","Strategy, Turn-Based Strategy, Indie, Pixel Graphics, Mechs, Turn-Based Tactics, Turn-Based, Roguelike, Sci-fi, Puzzle, Roguelite, RPG, Singleplayer, Tactical, Turn-Based Combat, Isometric, Simulation, Replay Value, Procedural Generation, Great Soundtrack, ", 400 MB available space,1,1,1
The Jackbox Party Pack 7,$29.99,"Oct 15, 2020","Jackbox Games, Inc., ","Jackbox Games, Inc., ",95,"61 Recent
",97,"2,198 ","Party Game, Party, Word Game, Board Game, Funny, 2D, Team-Based, Colorful, Family Friendly, Comedy, Trivia, Cartoon, Co-op, Local Multiplayer, Casual, Local Co-Op, Indie, Multiplayer, Controller, Singleplayer, ", 3 GB available space,1,1,1
Satisfactory,$29.99,"Jun 8, 2020","Coffee Stain Publishing, ","Coffee Stain Studios, ",97,"2,362 Recent
",97,"61,349 ","Base Building, Open World, Automation, Multiplayer, Crafting, Co-op, Resource Management, Building, Sandbox, Exploration, Adventure, Simulation, Strategy, Early Access, Open World Survival Craft, Survival, Indie, First-Person, Singleplayer, Sci-fi, ", 15 GB available space,0,1,0
Fallout 76,$39.99,"Apr 14, 2020","Bethesda Softworks, ","Bethesda Game Studios, ",69,"810 Recent
",76,"28,310 ","Dark Comedy, RPG, Open World, Post-apocalyptic, Multiplayer, Capitalism, Survival, Base Building, Co-op, Horror, Shooter, MMORPG, Gore, Exploration, Violent, Early Access, FPS, Atmospheric, Great Soundtrack, Singleplayer, ", 80 GB available space,0,1,0
