Name,Price,Release Date,Publisher,Developer,PerPosRev30,TNR30,PerPosRevAT,TNRAT,Genre,Storage,Mac,Windows,SteamLinux,MacWindow,MacSteam,WindowSteam,All,AvgNRAT,AvgNR30,AvgPrice
Supreme Ruler Ultimate,19.99,10/17/2014,"BattleGoat Studios,","BattleGoat Studios,",0,0,76,898,Strategy,4,1,1,0,1,0,0,0,4109.025381,81.53553299,41.05142132
Yandere School,59.99,9/1/2017,"Tea & Cake Games,","Tea & Cake Games,",0,0,58,245,Violent,0.7,0,1,0,0,0,0,0,231.25,0,22.49
Depraved,19.99,9/21/2019,"Evil Bite,","Evil Bite,",0,0,63,892,City,3,1,1,1,1,1,1,1,10080,151.6071429,109.3332143
Nemesis of the Roman Empire,9.99,3/17/2004,"Haemimont Games,","Haemimont Games,",0,0,93,63,Strategy,0.7,0,1,0,0,0,0,0,4109.025381,81.53553299,41.05142132
Minit,68.94,4/3/2018,"Devolver Digital,","JW, Kitty, Jukio, Dom,",10,11,92,1083,Minimalist,0.2,1,1,1,1,1,1,1,1083,11,68.94
Carto,29.99,10/27/2020,"Humble Games, X.D. Network Inc. (China),","Sunhead Games,",95,71,98,2434,Indie,2,1,1,0,1,0,0,0,802.9269841,12.4984127,25.0667619
Dead by Daylight: Original Soundtrack,9.99,6/14/2016,"Behaviour Digital Inc.,","Behaviour Digital Inc.,",0,0,83,266,Action,0,0,0,0,0,0,0,0,3264.582596,57.48230088,45.25634218
Cities in Motion,59.99,2/22/2011,"Paradox Interactive,","Colossal Order Ltd.,",0,0,76,620,Simulation,0,1,1,1,1,1,1,1,2702.746479,57.28450704,36.66304225
RAILROADS Online! - Official Soundtrack,9.99,10/1/2021,"Stefan Kelnberger,","Stefan Kelnberger,",0,0,0,0,N/A,1.1,0,1,0,0,0,0,0,1.719557196,0.070110701,30.50527675
The Choice of Life: Middle Ages,14.99,11/6/2020,"Blazing Planet Studio,","Blazing Planet Studio,",84,13,88,268,Choices,0.6,1,1,1,1,1,1,1,4086.222222,200.2777778,36.98666667
Dream Quest,24.99,5/15/2014,"Peter Whalen,","Peter Whalen,",0,0,89,233,Roguelike,0.2,1,1,0,1,0,0,0,6308.1,88.43333333,20.75666667
We Know the Devil,59.99,2/15/2016,"Pillow Fight,","Pillow Fight, Worst Girls Games,",0,0,92,587,Indie,0,1,1,0,1,0,0,0,802.9269841,12.4984127,25.0667619
Aeon,39.99,5/22/2017,"Illusion Ranger,","Illusion Ranger,",0,0,72,204,FPS,2,0,1,0,0,0,0,0,25383.08537,530.8170732,72.07170732
Dead State: Reanimated,39.99,12/4/2014,"DoubleBear Productions,","DoubleBear Productions,",0,0,74,1833,Zombies,3,0,1,0,0,0,0,0,25623.46429,359.8928571,89.56321429
Encore Classic Casino Games,59.99,10/5/2020,"Encore Inc.,","Encore,",0,0,0,0,Casual,2,0,1,0,0,0,0,0,591.1660777,19.47349823,25.58780919
Hero and Daughter+,9.99,2/18/2016,"Degica, Vaka Game Magazine,","Tachi, Vaka Game Magazine,",0,0,88,191,RPG,0.3,0,1,0,0,0,0,0,4388.014535,70.58139535,41.3109593
Falcon Age,59.99,10/8/2020,"Outerloop Games,","Outerloop Games,",0,0,75,113,Cute,5,0,1,0,0,0,0,0,10469.72727,242.8181818,18.99
ATRI -My Dear Moments-,29.99,6/18/2020,"ANIPLEX.EXE,","Frontwing, 枕,",99,151,98,5682,Casual,4,0,1,0,0,0,0,0,591.1660777,19.47349823,25.58780919
Half Minute Hero: The Second Coming,9.99,4/4/2014,"Marvelous,","Opus,",0,0,93,415,RPG,0.8,0,1,0,0,0,0,0,4388.014535,70.58139535,41.3109593
SACRALITH : The Archer`s Tale,39.99,5/17/2018,"Odd Meter,","Odd Meter,",0,0,85,226,VR,11,0,1,0,0,0,0,0,3732.898305,67.79661017,29.26067797
Head AS Code,39.99,2/9/2021,"Miracle Moon,","Miracle Moon,",0,0,95,24,Thriller,0.65,0,1,0,0,0,0,0,631,52.66666667,26.32333333
Tomes and Quests: a Word RPG,9.99,9/30/2021,"Trailblazer Games,","Trailblazer Games,",0,0,0,0,Casual,0.25,1,1,0,1,0,0,0,591.1660777,19.47349823,25.58780919
Home Sweet Home EP2,29.99,9/25/2019,"Ningbo Inception Media Co., Ltd. ,","YGGDRAZIL GROUP PUBLIC CO., LTD.,",0,0,76,690,Indie,26,0,1,0,0,0,0,0,802.9269841,12.4984127,25.0667619
Those Who Remain,58.97,5/28/2020,"Wired Productions, WhisperGames,","Camel 1N/A1,",0,0,70,308,Horror,9,0,1,0,0,0,0,0,9720.064,250.024,25.10824
Zapitalism,59.99,2/12/2020,"LavaMind,","LavaMind,",0,0,66,12,Strategy,50,1,1,0,1,0,0,0,4109.025381,81.53553299,41.05142132
My Riding Stables: Your Horse breeding,59.99,11/16/2018,"familyplay,","Independent Arts Software,",0,0,29,17,Casual,3,0,1,0,0,0,0,0,591.1660777,19.47349823,25.58780919
Apollo 11 VR,9.69,4/1/2016,"Immersive VR Education Ltd.,","Immersive VR Education Ltd.,",0,0,83,543,Simulation,6,0,1,0,0,0,0,0,2702.746479,57.28450704,36.66304225
Creeper World 2: Anniversary Edition,4.99,11/16/2016,"Knuckle Cracker,","Knuckle Cracker,",0,0,91,248,Strategy,0.5,1,1,0,1,0,0,0,4109.025381,81.53553299,41.05142132
VVVVVV,4.99,9/7/2010,"Terry Cavanagh,","Terry Cavanagh,",94,35,96,5083,Pixel,0,1,1,1,1,1,1,1,6145.181818,79.09090909,20.30818182
Goosebumps: The Game,39.99,10/13/2015,"GameMill Entertainment,","WayForward,",0,0,89,134,Casual,0.6,0,1,0,0,0,0,0,591.1660777,19.47349823,25.58780919
True Fear: Forsaken Souls Part 2,19.99,11/2/2018,"The Digital Lounge,","Goblinz,",0,0,92,377,Adventure,1,1,1,0,1,0,0,0,1660.002024,30.6437247,53.61291498
The Technomancer,19.99,6/28/2016,"Focus Home Interactive,","Spiders,",78,14,69,1741,RPG,11,0,1,0,0,0,0,0,4388.014535,70.58139535,41.3109593
Layers of Fear VR,19.99,12/10/2019,"Bloober Team SA,","Incuvo S.A.,",0,0,73,145,Adventure,5,0,1,0,0,0,0,0,1660.002024,30.6437247,53.61291498
We Happy Few - Season Pass,19.99,4/4/2019,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,1.719557196,0.070110701,30.50527675
GUILTY GEAR,49.99,5/15/2019,"Arc System Works,","Arc System Works,",0,0,86,192,Action,1,0,1,0,0,0,0,0,3264.582596,57.48230088,45.25634218
Gothic 1,9.99,3/15/2001,"THQ Nordic,","Piranha Bytes,",94,192,89,6110,RPG,0,0,1,0,0,0,0,0,4388.014535,70.58139535,41.3109593
Osmos,29.99,8/18/2009,"Hemisphere Games,","Hemisphere Games,",0,0,88,482,Indie,0,1,1,1,1,1,1,1,802.9269841,12.4984127,25.0667619
Cooking Dash®,24.99,8/12/2009,"PlayFirst,","Aliasworlds Entertainment,",0,0,72,59,Cooking,0,1,1,0,1,0,0,0,66.5,0,34.99
Nox Archaist,39.99,12/12/2020,"65N/A2 Workshop,","65N/A2 Workshop,",0,0,95,21,RPG,0.25,1,1,0,1,0,0,0,4388.014535,70.58139535,41.3109593
Starlight Drifter,19.99,6/29/2018,"Dharker Studios Ltd,","Dharker Studio,",0,0,68,41,Indie,1,0,1,0,0,0,0,0,802.9269841,12.4984127,25.0667619
Evil Genius,29.99,9/28/2004,"Rebellion,","Elixir Studios,",83,12,94,2740,Strategy,0,0,1,0,0,0,0,0,4109.025381,81.53553299,41.05142132
OPUS: The Day We Found Earth Original Soundtrack,6.99,4/22/2016,N/A,"SIGONO INC.,",0,0,0,0,Adventure,0,0,0,0,0,0,0,0,1660.002024,30.6437247,53.61291498
Rocket Arena,39.99,7/14/2020,"Electronic Arts,","Final Strike Games,",0,0,73,717,Hero,30,0,1,0,0,0,0,0,373.5,0,33.975
Cookie Clicker Soundtrack,4.99,9/4/2021,"Playsaurus,","C418,",0,0,90,11,N/A,30,0,1,0,0,0,0,0,1.719557196,0.070110701,30.50527675
